Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
64	27	0	0.9103744	101198.76	101218.297	101187.867	101271.775	83.9072289	0	0	0	0	0	3
65	28	0	0.924599	101198.633	101216.265	101187.867	101265.913	78.0457822	0	0	0	0	0	3
66	28	0	0.9388236	101198.962	101214.406	101187.867	101259.207	71.3393118	0	0	0	0	0	3
67	28	0	0.9530482	101199.591	101212.75	101187.867	101252.262	64.394886	0	0	0	0	0	3
68	29	0	0.9672728	101200.607	101211.315	101187.867	101245.336	57.4689832	0	0	0	0	0	3
69	29	0	0.9814974	101202.129	101210.115	101187.867	101238.982	51.1144528	0	0	0	0	0	3
70	30	0	0.995722	101204.316	101209.152	101187.867	101236.766	48.8984214	0	0	0	0	0	3
71	30	0	1.0099466	101207.108	101208.425	101187.867	101236.766	48.8984214	15.8337819	0	0	0	0	3
72	30	0	1.0241712	101210.076	101207.921	101187.867	101236.766	48.8984214	15.8337819	0	0	0	0	3
73	31	0	1.0383958	101212.93	101207.674	101187.867	101236.766	48.8984214	15.8337819	0	0	0	0	3
74	31	0	1.0526204	101215.359	101207.695	101187.867	101236.766	48.8984214	15.8337819	0	0	0	0	3
75	32	0	1.066845	101217.338	101207.965	101187.867	101236.766	48.8984214	15.8337819	0	0	0	0	3
76	32	0	1.0810696	101218.892	101208.453	101187.867	101236.766	48.8984214	15.8337819	0	0	0	0	3
77	33	0	1.0952942	101220.245	101209.071	101187.867	101236.766	48.8984214	15.8337819	0	0	0	0	3
78	33	0	1.1095188	101221.316	101209.805	101187.867	101236.766	48.8984214	15.8337819	0	0	0	0	3
79	34	0	1.1237434	101222.224	101210.643	101187.867	101236.766	48.7838521	15.8337819	0	0	0	0	3
80	34	0	1.137968	101222.933	101211.56	101187.867	101236.766	48.7838521	15.8337819	0	0	0	0	3
81	35	0	1.1521926	101223.547	101212.534	101187.867	101236.766	48.7838521	15.8337819	0	0	0	0	3
82	35	0	1.1664172	101223.907	101213.535	101189.512	101236.766	47.2534058	15.8337819	0	0	0	0	3
83	36	0	1.1806418	101224.115	101214.497	101193.894	101236.766	42.8719137	15.8337819	0	0	0	0	3
84	36	0	1.1948664	101224.158	101215.337	101198.633	101236.766	38.132811	15.8337819	0	0	0	0	3
85	36	0	1.209091	101224.229	101215.962	101198.633	101236.766	38.132811	15.8337819	0	0	0	0	3
86	37	0	1.2233156	101224.213	101216.267	101198.633	101236.766	38.132811	15.8337819	0	0	0	0	3
87	37	0	1.2375402	101224.148	101216.218	101198.633	101236.766	38.132811	15.8337819	0	0	0	0	3
88	38	0	1.2517648	101224.005	101215.924	101198.633	101236.766	38.132811	15.8337819	0	0	0	0	3
89	38	0	1.2659894	101223.912	101215.567	101198.633	101235.141	36.5084472	15.8337819	0	0	0	0	3
90	39	0	1.280214	101223.809	101215.252	101198.633	101232.553	33.0197872	15.8337819	0	0	0	0	3
91	39	0	1.2944386	101223.709	101215.006	101198.633	101229.448	29.1153822	15.8337819	0	0	0	0	3
92	39	0	1.3086632	101223.564	101214.843	101198.633	101225.32	26.6142416	15.8337819	0	0	0	0	3
93	40	0	1.3228878	101223.527	101214.793	101198.633	101224.229	24.6401043	15.8337819	0	0	0	0	3
94	40	0	1.3371124	101223.536	101214.89	101198.633	101224.229	22.5931444	15.8337819	0	0	0	0	3
95	41	0	1.351337	101223.684	101215.147	101198.633	101224.229	20.2708152	15.8337819	0	0	0	0	3
