Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
61	26	0	0.8677006	313.058373	313.058009	313.054585	313.059292	0.000853301685	0	0	0	0	0	3
62	26	0	0.8819252	313.058314	313.057983	313.054585	313.059292	0.000878868515	0	0	0	0	0	3
63	27	0	0.8961498	313.058227	313.057955	313.054585	313.059292	0.000907408165	0	0	0	0	0	3
64	27	0	0.9103744	313.058083	313.057922	313.054585	313.059292	0.000939864863	0	0	0	0	0	3
65	28	0	0.924599	313.057842	313.057884	313.054585	313.059292	0.000978252038	0	0	0	0	0	3
66	28	0	0.9388236	313.057474	313.057836	313.054585	313.059292	0.00102564556	0	0	0	0	0	3
67	28	0	0.9530482	313.057018	313.057778	313.054585	313.059292	0.00108371102	0	0	0	0	0	3
68	29	0	0.9672728	313.056536	313.057709	313.054585	313.059292	0.00115284369	0	0	0	0	0	3
69	29	0	0.9814974	313.056092	313.05763	313.054585	313.059292	0.00123136275	0	0	0	0	0	3
70	30	0	0.995722	313.055751	313.057544	313.054585	313.059292	0.0013145538	0	0	0	0	0	3
71	30	0	1.0099466	313.055518	313.057454	313.054585	313.059292	0.00140206839	0.000141192774	0	10	0	0	3
72	30	0	1.0241712	313.055428	313.057364	313.054585	313.059292	0.00149238353	0.000141192774	0	9.4	0	0	3
73	31	0	1.0383958	313.055417	313.057276	313.054585	313.059292	0.00158054487	0.000141192774	0	8.9	0	0	3
74	31	0	1.0526204	313.055447	313.057191	313.054585	313.059292	0.00166261859	0.000141192774	0	8.4	0	0	3
75	32	0	1.066845	313.055492	313.057109	313.054585	313.059292	0.00173741391	0.000141192774	0	8.1	0	0	3
76	32	0	1.0810696	313.055599	313.057034	313.054585	313.059292	0.0018013843	0.000141192774	0	7.8	0	0	3
77	33	0	1.0952942	313.055766	313.056968	313.054585	313.059292	0.00184973956	0.000141192774	0	7.6	0	0	3
78	33	0	1.1095188	313.055962	313.056914	313.054585	313.059292	0.00187555478	0.000141192774	0	7.5	0	0	3
79	34	0	1.1237434	313.056151	313.056875	313.054585	313.059292	0.00187229624	0.000141192774	0	7.5	0	0	3
80	34	0	1.137968	313.056296	313.056853	313.054585	313.059292	0.00183732061	0.000141192774	0	7.6	0	0	3
81	35	0	1.1521926	313.05639	313.056848	313.054585	313.059292	0.00176892797	0.000141192774	0	7.9	0	0	3
82	35	0	1.1664172	313.056437	313.05686	313.054585	313.059292	0.00167688214	0.000141192774	0	8.4	0	0	3
83	36	0	1.1806418	313.056473	313.05689	313.054585	313.059292	0.00156828904	0.000141192774	0	9	0	0	3
84	36	0	1.1948664	313.0565	313.056937	313.054585	313.059292	0.00145293002	0.000141192774	0	9.7	0	0	3
85	36	0	1.209091	313.056525	313.056991	313.055156	313.059292	0.00135290561	0.000141192774	0	10.4	0	0	3
86	37	0	1.2233156	313.056533	313.05703	313.055417	313.059292	0.0012972092	0.000141192774	0	10.8	0	0	3
87	37	0	1.2375402	313.056527	313.057031	313.055417	313.059292	0.0012972092	0.000141192774	0	10.8	0	0	3
88	38	0	1.2517648	313.0565	313.056983	313.055417	313.059292	0.0012972092	0.000141192774	0	10.8	0	0	3
89	38	0	1.2659894	313.056477	313.056904	313.055417	313.059285	0.0012972092	0.000141192774	0	10.8	0	0	3
90	39	0	1.280214	313.056467	313.056826	313.055417	313.05872	0.0013136542	0.000141192774	0	10.7	0	0	3
91	39	0	1.2944386	313.056465	313.056764	313.055417	313.058411	0.00135727552	0.000141192774	0	10.4	0	0	3
92	39	0	1.3086632	313.05645	313.056713	313.055417	313.058411	0.00138279838	0.000141192774	0	10.2	0	0	3
93	40	0	1.3228878	313.056442	313.056667	313.055417	313.058411	0.00140622044	0.000141192774	0	10	0	0	3
94	40	0	1.3371124	313.056425	313.056616	313.055417	313.058411	0.00143588468	0.000141192774	0	9.8	0	0	3
95	41	0	1.351337	313.056424	313.056562	313.055417	313.058411	0.00146939983	0.000141192774	0	9.6	0	0	3
96	41	0	1.3655616	313.056412	313.056507	313.055417	313.058373	0.0015022688	0.000141192774	0	9.3	0	0	3
97	42	0	1.3797862	313.05641	313.056452	313.055417	313.058314	0.00153124224	0.000141192774	0	9.2	0	0	3
98	42	0	1.3940108	313.056393	313.056399	313.055417	313.058227	0.00155607874	0.000141192774	0	9	0	0	3
99	42	0	1.4082354	313.056377	313.056347	313.055417	313.058083	0.00157499683	0.000141192774	0	8.9	0	0	3
100	43	0	1.42246	313.056344	313.056299	313.055417	313.057842	0.00158491902	0.000141192774	0	8.9	0	0	3
101	44	0	1.4366846	313.056332	313.056257	313.055417	313.057474	0.0015794852	0.000141192774	0	8.9	0	0	3
102	44	0	1.4509092	313.056304	313.056224	313.055417	313.057018	0.00155393409	0.000141192774	0	9	0	0	3
103	44	0	1.4651338	313.056298	313.056204	313.055417	313.056536	0.00111905574	0.000141192774	0	12.6	0	0	3
104	45	0	1.4793584	313.056289	313.056198	313.055417	313.056533	0.00111606391	0.000141192774	0	12.6	0	0	3
105	45	0	1.493583	313.056302	313.056203	313.055417	313.056533	0.00111606391	0.000141192774	0	12.6	0	0	3
